"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Footer","","'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"","","","0","0","300","0","11"
"FreestyleProject","","Freestyle project > Move to Folder","0","0","3","0","0"
"FreestyleProject","","New Item > Create Freestyle Project","0","0","40","0","0"
"FreestyleProject","","Freestyle Project > Disable/Enable Project","0","0","2","0","0"
"FreestyleProject","","Freestyle project > Delete project","0","0","3","0","0"
"FreestyleProject","","Freestyle Project > Edit description","0","0","2","0","0"
"FreestyleProject","","New item > Create a new item from other existing","0","0","2","0","0"
"Footer","","REST API link > Redirection","0","0","1","0","0"
"FreestyleProject",""," New item > Create a new item from other existing","0","0","1","0","0"
"FreestyleProject","","Build history>Start to build a project","0","0","1","0","0"
"FreestyleProject","","Freestyle project > Rename project","0","0","4","0","0"
"FreestyleProject","","Freestyle project > Add description","0","0","1","0","0"
