"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Pipeline","","US_02.009 Full stage view","0","0","6","0","0"
"","","","0","0","37","0","11"
"Pipeline","","US_02.005 Edit pipeline description","0","0","3","0","0"
"New Item","","US_00.002 Create Pipeline Project","0","0","5","0","0"
"Pipeline","","US_02.005 Delete pipeline","0","0","2","0","0"
"Pipeline","","US_02.006 Disable project","0","0","4","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"Pipeline","","US_02.011 Build history","0","0","1","0","0"
"Pipeline","","US_02.007 Delete pipeline","0","0","5","0","0"
"Pipeline","","US_02.004 Pipeline Configuration","0","0","2","0","0"
"Build history","","US_08.002 Take information about a project built","0","0","3","0","0"
"Pipeline","","US_02.008 Rename pipeline","0","0","2","0","0"
