"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"FreestyleProject","","US_01.006 Move to Folder","0","0","3","0","0"
"FreestyleProject","","US_01.000 Create Project","0","0","42","0","0"
"FreestyleProject","","US_01.004 Delete project","0","0","3","0","0"
"FreestyleProject","","US_01.002 Rename project","0","0","4","0","0"
"FreestyleProject","","US_01.003 Disable/Enable Project","0","0","2","0","0"
"Folder","","US_04.005 Create a job inside folder","0","0","4","0","0"
"Folder","","US_04.001 Rename Folder","0","0","3","0","0"
"Multibranch pipeline","","US_05.000 Create Multibranch Pipeline","0","0","2","0","0"
"Multibranch pipeline","","US_05.002 View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"","","","0","0","0","0","11"
"Multibranch pipeline","","US_05.004 Disable Multibranch pipeline","0","0","5","0","0"
"Folder","","US_04.004 Add and edit description of the folder ","0","0","2","0","0"
"Multibranch pipeline","","US_05.003 Enable Multibranch pipeline","0","0","2","0","0"
"Multibranch pipeline","","US_05.007 Create a project from other existing","0","0","1","0","0"
"Folder","","US_04.000 Create Folder","0","0","7","0","0"
"FreestyleProject","","US_01.007 Delete description Project","0","0","1","0","0"
"Multibranch pipeline","","US_05.005 Delete Multibranch pipeline","0","0","3","0","0"
"Multibranch pipeline","","US_05.001 Rename Multibranch pipeline","0","0","3","0","0"
"FreestyleProject","","US_01.001 Add description","0","0","1","0","0"
"Multibranch pipeline","","US_05.006 Move Multibranch pipeline","0","0","1","0","0"
"FreestyleProject","","US_01.008 Build now Project.","0","0","1","0","0"
"Folder","","04.003 Delete Folder","0","0","1","0","0"
"FreestyleProject","","US_01.005 Edit description Project","0","0","1","0","0"
"Folder","","US_04.002 Move Folder to Folder","0","0","2","0","0"
"FreestyleProject","","US_01.009 Create a new item from other existing","0","0","1","0","0"
"Folder","","US_04.003 Delete Folder","0","0","1","0","0"
