"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Folder","","US_04.003 Delete Folder","0","0","2","0","0"
"Folder","","US_04.005  Create a job inside folder","0","0","4","0","0"
"Folder","","US_04.002  Move Folder to Folder","0","0","2","0","0"
"Freestyle project","","US_01.002  Rename project","0","0","4","0","0"
"Header","","US_14.004  Warning item","0","0","3","0","0"
"Freestyle project","","US_01.000  Create Project","0","0","42","0","0"
"Freestyle project","","US_01.006  Change project description","0","0","3","0","0"
"Multibranch Pipeline","","US_05.003  Enable Multibranch pipeline","0","0","2","0","0"
"Freestyle project","","US_01.004  Delete project","0","0","3","0","0"
"Footer","","US_12.003 REST API link > Redirection","0","0","1","0","0"
"Multibranch Pipeline","","US_05.001  Rename Multibranch pipeline","0","0","3","0","0"
"Freestyle project","","US_01.005  Move Project","0","0","3","0","0"
"Folder","","US_04.000  Create Folder","0","0","7","0","0"
"Folder","","US_04.001 Rename Folder","0","0","3","0","0"
"Multibranch Pipeline","","US_05.000  Create Multibranch Pipeline","0","0","2","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Nodes","","US_15.002 Delete Node","0","0","0","2","0"
"Multibranch Pipeline","","US_05.005  Delete Multibranch Pipeline","0","0","3","0","0"
"Freestyle project","","US_01.003  Disable/Enable Project","0","0","2","0","0"
"Multibranch Pipeline","","US_05.002  View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"Nodes","","US_15.005 Check list of Monitoring Data","0","0","0","1","0"
"Header","","US_14.007 Username on header","0","0","2","0","0"
"Multibranch Pipeline","","US_05.004 Disable Multibranch Pipeline","0","0","5","0","0"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"Nodes","","US_15.001 Create Node","0","0","0","7","0"
"Footer","","US_12.002 'Jenkins 2.440.2' button > Visibility, click ability and functionality","0","0","4","0","0"
"Folder","","US_04.004  Add and edit description of the folder ","0","0","2","0","0"
"Multi-configuration project","","US_03.000 Create project","0","0","4","0","0"
"Nodes","","US_15.003 Edit Node","0","0","0","2","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"Multi-configuration project","","US_03.003 Delete project","0","0","3","0","0"
"Multibranch Pipeline","","US_05.006  Move Multibranch Pipeline","0","0","1","0","0"
"Nodes","","US_15.004 Check tooltips on Configure Node Monitors page","0","0","0","1","0"
"Freestyle project","","US_01.007  Build now Project","0","0","1","0","0"
"Header","","US_14.005  Entrance to the user's account","0","0","1","0","0"
"Multibranch Pipeline","","US_05.007  Create Multibranch Pipeline from other existing","0","0","1","0","0"
"Nodes","","","0","1","0","0","0"
