"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","346","0","12"
"Footer","","'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"People","","US_07.003 Icon size","0","0","3","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"","","US_14.005 Entrance to the user's account","0","0","1","0","0"
"Footer","","REST API link > Redirection","0","0","1","0","0"
"People","","US_07.001 View people","0","0","1","0","0"
"People","","US_07.002 Sort people","0","0","1","0","0"
"","","US_14.004 Warning item","0","0","2","0","0"
"","","New Item(Goes to FEATURES BY STORIES)","0","0","1","0","0"
"14_Header","","US_14.004 Warning item","0","0","1","0","0"
