"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Multibranch Pipeline","","US_05.000  Create Multibranch Pipeline","0","0","2","0","0"
"Multibranch Pipeline","","US_05.001  Rename Multibranch pipeline","0","0","3","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"","","","0","0","13","0","2"
"Multibranch Pipeline","","US_05.002  View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"Footer","","US_12.002 'Jenkins 2.440.2' button > Visibility, click ability and functionality","0","0","4","0","0"
"New item","","US_00.000 Create New item","0","0","25","0","0"
"Multibranch Pipeline","","US_05.005  Delete Multibranch Pipeline","0","0","3","0","0"
"","","US_10.001 Create View","0","0","1","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","4","0","0"
"Multibranch Pipeline","","US_05.004 Disable Multibranch Pipeline","0","0","5","0","0"
"","","US_10.002 Delete View","0","0","1","0","0"
"Multibranch Pipeline","","US_05.003  Enable Multibranch pipeline","0","0","2","0","0"
"Multibranch Pipeline","","US_05.006  Move Multibranch Pipeline","0","0","1","0","0"
"Multibranch Pipeline","","US_05.007  Create Multibranch Pipeline from other existing","0","0","1","0","0"
"","","US_10.002 Edit View","0","0","1","0","0"
"Footer","","US_12.003 REST API link > Redirection","0","0","1","0","0"
