"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Footer","","'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"","","","0","0","300","0","11"
"New item","","Create Freestyle Project","0","0","42","0","0"
"Freestyle project","","Add description","0","0","1","0","0"
"Footer","","REST API link > Redirection","0","0","1","0","0"
"Freestyle project","","Delete project","0","0","3","0","0"
"Freestyle project","","Move to Folder","0","0","3","0","0"
"Freestyle project","","Disable/Enable Project","0","0","2","0","0"
"Freestyle project","","Rename project","0","0","4","0","0"
"Freestyle project","","Delete description","0","0","1","0","0"
"Build history","","Start to build a project","0","0","1","0","0"
"New item","","Create a new item from other existing","0","0","1","0","0"
"Freestyle project","","Edit description","0","0","1","0","0"
