"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Manage Jenkins","","US_09.002 View 'Manage Jenkins' page > Visibility and clickability","0","0","20","0","0"
"People","","US_07.003 Icon size","0","0","3","0","0"
"Manage Jenkins","","US_09.004 View 'Manage Jenkins' page > Redirection","0","0","54","0","0"
"Header","","US_14.002 Search box","0","0","8","0","0"
"Multi-configuration project","","US_03.003 Delete project","0","0","3","0","0"
"Manage Jenkins","","US_09.001  Search settings","0","0","5","0","0"
"Folder","","US_04.001 Rename Folder","0","0","3","0","0"
"Footer","","US_12.002 'Jenkins 2.440.2' button > Visibility, click ability and functionality","0","0","4","0","0"
"Folder","","US_04.000  Create Folder","0","0","7","0","0"
"API Manage Jenkins builds","","Disable the project","0","0","2","0","0"
"New item","","US_00.000 Create New item","0","0","23","0","0"
"Dashboard","","US_16.002 Create and edit View","0","0","9","0","0"
"API Manage Jenkins builds","","Create the multi-configuration project","0","0","1","0","0"
"","","","0","0","11","0","0"
"Folder","","US_04.005  Create a job inside folder","0","0","4","0","0"
"People","","US_07.002 Sort people","0","0","4","0","0"
"Pipeline","","US_02.004 Verify the Pipeline configuration","0","0","21","0","0"
"Dashboard","","US_16.007 Item Sorting","0","0","1","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"Dashboard","","US_16.003 Item Chevron Menu > List of Menu Items","0","0","6","0","0"
"ApiRestAssuredTest2","","Add description","0","0","2","0","0"
"Dashboard","","US_16.001 Start Page","0","0","1","0","0"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"Dashboard","","US_16.006 Edit Dashboard Description","0","0","1","0","0"
"API Manage Jenkins Views","","Reconfigure View","0","0","6","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"Pipeline","","US_02.011 Take the information about a project built","0","0","6","0","0"
"Pipeline","","US_02.006 Disable project","0","0","5","0","0"
"Multibranch Pipeline","","US_05.006  Move Multibranch Pipeline","0","0","1","0","0"
"Pipeline","","US_02.007 Delete Pipeline","0","0","4","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Multibranch Pipeline","","US_05.004 Disable Multibranch Pipeline","0","0","5","0","0"
"Folder","","US_04.004  Add and edit description of the folder ","0","0","2","0","0"
"Multibranch Pipeline","","US_05.007  Create Multibranch Pipeline from other existing","0","0","1","0","0"
"Folder","","US_04.002  Move Folder to Folder","0","0","2","0","0"
"Pipeline","","US_02.003 Build now","0","0","3","0","0"
"Folder","","US_04.003 Delete Folder","0","0","2","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"Multibranch Pipeline","","US_05.001  Rename Multibranch pipeline","0","0","3","0","0"
"Multibranch Pipeline","","US_05.003  Enable Multibranch pipeline","0","0","2","0","0"
"Multibranch Pipeline","","US_05.005  Delete Multibranch Pipeline","0","0","3","0","0"
"Multi-configuration project","","US_03.000 Create project","0","0","4","0","0"
"Pipeline","","US_02.008 Rename Pipeline","0","0","2","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"Footer","","US_12.003 REST API link > Redirection","0","0","1","0","0"
"API Manage Jenkins Views","","Create View","0","0","1","0","0"
"People","","US_07.001 View people","0","0","1","0","0"
"Multibranch Pipeline","","US_05.000  Create Multibranch Pipeline","0","0","2","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"Header","","US_14.006 Search-help (Question mark)","0","0","1","0","0"
"API Manage Jenkins Views","","Delete View","0","0","1","0","0"
"API Manage Jenkins builds","","Reconfigure project builds","0","0","2","0","0"
"Dashboard","","US_16.004 Change Icon Size","0","0","1","0","0"
"API Manage Jenkins Views","","Create the pipeline project","0","0","1","0","0"
"Pipeline","","US_02.005 Edit description","0","0","5","0","0"
"ApiRestAssuredTest2","","Create the multi-configuration project","0","0","4","0","0"
"Pipeline","","US_02.000 Create Pipeline","1","0","2","0","0"
"Dashboard","","US_16.005 Sidebar Menu Items","0","0","2","0","0"
"ApiRestAssuredTest2","","Search the project by name","0","0","1","0","0"
"Pipeline","","US_02.009 Full Stage View","0","0","5","0","0"
"Multibranch Pipeline","","US_05.002  View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
"API Manage Jenkins builds","","Search the project by name","0","0","1","0","0"
"API Manage Jenkins builds","","Build the project","0","0","2","0","0"
"API Manage Jenkins builds","","Enable the project","0","0","2","0","0"
