"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Pipeline","","US_02.004 Verify the Pipeline configuration","0","0","21","0","0"
"Pipeline","","US_02.000 Create Pipeline","0","0","3","0","0"
"Pipeline","","US_02.005 Edit description","0","0","5","0","0"
"Pipeline","","US_02.011 Take the information about a project built","0","0","6","0","0"
"Header","","US_14.002 Search box","0","0","8","0","0"
"Pipeline","","US_02.009 Full Stage View","0","0","5","0","0"
"Apache http client Jenkins Api tests","","Delete job","0","0","2","0","0"
"Pipeline","","US_02.003 Build now","0","0","3","0","0"
"Apache http client Jenkins Api tests","","Create job","0","0","2","0","0"
"Pipeline","","US_02.007 Delete Pipeline","0","0","4","0","0"
"Pipeline","","US_02.008 Rename Pipeline","0","0","2","0","0"
"Pipeline","","US_02.006 Disable project","0","0","5","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"Apache http client Jenkins Api tests","","Read job","0","0","1","0","0"
"Header","","US_14.006 Search-help (Question mark)","0","0","1","0","0"
