"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Manage Jenkins Views","","Reconfigure View","0","0","6","0","0"
"API Manage Jenkins builds","","Enable the project","0","0","2","0","0"
"API Manage Jenkins Views","","Delete View","0","0","1","0","0"
"API Manage Jenkins builds","","Reconfigure project builds","0","0","2","0","0"
"ApiRestAssuredTest2","","Search the project by name","0","0","1","0","0"
"API Manage Jenkins builds","","Build the project","0","0","2","0","0"
"API Manage Jenkins builds","","Disable the project","0","0","2","0","0"
"API Manage Jenkins Views","","Create the pipeline project","0","0","1","0","0"
"API Manage Jenkins builds","","Search the project by name","0","0","1","0","0"
"ApiRestAssuredTest2","","Add description","0","0","2","0","0"
"API Manage Jenkins Views","","Create View","0","0","1","0","0"
"ApiRestAssuredTest2","","Create the multi-configuration project","0","0","1","0","0"
"API Manage Jenkins builds","","Create the multi-configuration project","0","0","1","0","0"
