"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","52","0","5"
"Organization folder","","US_06.001  Use Configuration page","0","0","6","0","0"
"Freestyle project","","US_01.002  Rename project","0","0","4","0","0"
"Build History","","US_08.001 Start to build a project","0","0","2","0","0"
"Freestyle project","","US_01.000  Create Project","0","0","42","0","0"
"Organization folder","","US_06.000  Create project","0","0","3","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"Organization folder","","US_06.005  Delete Organization Folder","0","0","1","0","0"
"Multi-configuration project","","US_03.003 Delete project","0","0","3","0","0"
"Build History","","US_08.002 Get the information about a project build","0","0","3","0","0"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"Freestyle project","","US_01.005  Move Project","0","0","3","0","0"
"Freestyle project","","US_01.006  Change project description","0","0","3","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"New item","","US_00.000 Create New item","0","0","25","0","0"
"Organization folder","","US_06.003  Scan Organization Folder Log","0","0","1","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Organization folder","","US_06.007  Pipeline syntax","0","0","4","0","0"
"Organization folder","","US_06.009  Add description to Organization Folder","0","0","1","0","0"
"People","","US_07.002 Sort people","0","0","1","0","0"
"People","","US_07.003 Icon size","0","0","3","0","0"
"Footer","","US_12.002 'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"People","","US_07.001 View people","0","0","1","0","0"
"Footer","","US_12.003 REST API link > Redirection","0","0","1","0","0"
"Organization folder","","US_06.006  Rename Organization Folder","0","0","1","0","0"
"Multi-configuration project","","US_03.000 Create project","0","0","4","0","0"
"Freestyle project","","US_01.003  Disable/Enable Project","0","0","2","0","0"
"Freestyle project","","US_01.004  Delete project","0","0","3","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
"Freestyle project","","US_01.007  Build now Project","0","0","1","0","0"
