"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Pipeline","","US_02.007 Delete Pipeline","0","0","5","0","0"
"Manage Jenkins","","US_09.004 View 'Manage Jenkins' page > Redirection","0","0","54","0","0"
"Header","","US_14.002 Search box","0","0","8","0","0"
"Freestyle project","","US_01.000  Create Project","0","0","42","0","0"
"Apache http client Jenkins Api tests","","Read job","0","0","1","0","0"
"Jenkins API","","","0","0","6","0","0"
"Folder","","US_04.002  Move Folder to Folder","0","0","4","0","0"
"Folder","","US_04.000  Create Folder","0","0","14","0","0"
"Multibranch Pipeline","","US_05.004 Disable Multibranch Pipeline","0","0","5","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"Pipeline","","US_02.004 Verify the Pipeline configuration","0","0","35","0","0"
"Manage Jenkins","","US_09.002 View 'Manage Jenkins' page > Visibility and clickability","0","0","20","0","0"
"Folder","","US_04.005  Create a job inside folder","0","0","8","0","0"
"New item","","US_00.000 Create New item","0","0","23","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Pipeline","","US_02.011 Take the information about a project built","0","0","6","0","0"
"Folder","","US_04.003 Delete Folder","0","0","4","0","0"
"Pipeline","","US_02.005 Edit description","0","0","6","0","0"
"Nodes","","US_15.001 Create Node","0","0","7","0","0"
"Nodes","","US_15.002 Delete Node","0","0","2","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"RestAssured Jenkins Api tests","","Create job","0","0","2","0","0"
"API Manage Jenkins builds","","Build the project","0","0","2","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"Freestyle project","","US_01.002  Rename project","0","0","4","0","0"
"Pipeline","","US_02.006 Disable project","0","0","6","0","0"
"Folder","","US_04.001 Rename Folder","0","0","6","0","0"
"RestAssured Jenkins Api tests","","Delete job","0","0","2","0","0"
"API Manage Jenkins Views","","Reconfigure View","0","0","6","0","0"
"Multibranch Pipeline","","US_05.000  Create Multibranch Pipeline","0","0","2","0","0"
"Freestyle project","","US_01.005  Move Project","0","0","3","0","0"
"ApiRestAssuredTest2","","Create the multi-configuration project","0","0","4","0","0"
"","","","0","0","18","0","0"
"API Manage Jenkins builds","","Create the multi-configuration project","0","0","1","0","0"
"Organization folder","","US_06.006  Rename Organization Folder","0","0","1","0","0"
"Folder","","US_04.004  Add and edit description of the folder ","0","0","4","0","0"
"Dashboard","","US_16.007 Item Sorting","0","0","1","0","0"
"API Manage Jenkins builds","","Disable the project","0","0","2","0","0"
"User","","US_13.001  Create User","0","0","12","0","0"
"Dashboard","","US_16.003 Item Chevron Menu > List of Menu Items","0","0","6","0","0"
"Pipeline","","US_02.000 Create Pipeline","0","0","5","0","0"
"Manage Jenkins","","US_09.001  Search settings","0","0","5","0","0"
"Dashboard","","US_16.002 Create and edit View","0","0","9","0","0"
"API Manage Jenkins builds","","Enable the project","0","0","2","0","0"
"Multi-configuration project","","US_03.000 Create project","0","0","4","0","0"
"Organization folder","","US_06.003  Scan Organization Folder Log","0","0","1","0","0"
"Organization folder","","US_06.001  Use Configuration page","0","0","6","0","0"
"Organization folder","","US_06.005  Delete Organization Folder","0","0","1","0","0"
"People","","US_07.002 Sort people","0","0","4","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"Organization folder","","US_06.007  Pipeline syntax","0","0","4","0","0"
"Apache http client Jenkins Api tests","","Create job","0","0","2","0","0"
"Jenkins API","","Create new job with XML ContentType","0","0","3","0","0"
"Build History","","US_08.002 Get the information about a project build","0","0","3","0","0"
"People","","US_07.001 View people","0","0","1","0","0"
"Multibranch Pipeline","","US_05.005  Delete Multibranch Pipeline","0","0","3","0","0"
"Pipeline","","US_02.009 Full Stage View","0","0","7","0","0"
"Nodes","","US_15.003 Edit Node","0","0","2","0","0"
