"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"Pipeline","","US_02.006 Disable project","0","0","5","0","0"
"Pipeline","","US_02.005 Edit description","0","0","5","0","0"
"Multibranch Pipeline","","US_05.002  View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"Pipeline","","US_02.004 Verify the Pipeline configuration","0","0","15","0","0"
"","","","0","0","11","0","0"
"New item","","US_00.000 Create New item","0","0","23","0","0"
"Jenkins API","","","0","0","3","0","0"
"Build History","","US_08.001 Start to build a project","0","0","2","0","0"
"Pipeline","","US_02.003 Build now","0","0","2","0","0"
"Pipeline","","US_02.011 Take the information about a project built","0","0","6","0","0"
"Multibranch Pipeline","","US_05.005  Delete Multibranch Pipeline","0","0","3","0","0"
"Header","","US_14.002 Search box","0","0","8","0","0"
"Pipeline","","US_02.009 Full Stage View","0","0","5","0","0"
"Multibranch Pipeline","","US_05.001  Rename Multibranch pipeline","0","0","3","0","0"
"Jenkins API","","Build existed job with Json","0","0","3","0","0"
"Pipeline","","US_02.007 Delete Pipeline","0","0","4","0","0"
"Build History","","US_08.002 Get the information about a project build","0","0","3","0","0"
"Pipeline","","US_02.008 Rename Pipeline","0","0","2","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"Multibranch Pipeline","","US_05.000  Create Multibranch Pipeline","0","0","2","0","0"
"Multibranch Pipeline","","US_05.004 Disable Multibranch Pipeline","0","0","5","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"Footer","","US_12.002 'Jenkins 2.440.2' button > Visibility, click ability and functionality","0","0","4","0","0"
"Multibranch Pipeline","","US_05.003  Enable Multibranch pipeline","0","0","2","0","0"
"Jenkins API","","Create new job with XML ContentType","0","0","3","0","0"
"Header","","US_14.006 Search-help (Question mark)","0","0","1","0","0"
"Pipeline","","US_02.000 Create Pipeline","0","0","3","0","0"
"Footer","","US_12.003 REST API link > Redirection","0","0","1","0","0"
"Jenkins API","","Check to build a project","0","0","1","0","0"
"Jenkins API","","Test get jobs with Json ContentType","0","0","1","0","0"
"Multibranch Pipeline","","US_05.007  Create Multibranch Pipeline from other existing","0","0","1","0","0"
"Multibranch Pipeline","","US_05.006  Move Multibranch Pipeline","0","0","1","0","0"
