"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Freestyle project","","US_01.000  Create Project","0","0","42","0","0"
"Freestyle project","","US_01.006  Change project description","0","0","3","0","0"
"Multi-configuration project","","US_03.000 Create project","0","0","3","0","0"
"Freestyle project","","US_01.003  Disable/Enable Project","0","0","2","0","0"
"Freestyle project","","US_01.002  Rename project","0","0","4","0","0"
"","","","0","0","0","0","5"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","3","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"Freestyle project","","US_01.004  Delete project","0","0","3","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Freestyle project","","US_01.005  Move Project","0","0","3","0","0"
"Freestyle project","","US_01.007  Build now Project","0","0","1","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","1","0","0"
"Multi-configuration project","","US_03.003 Delete project","0","0","2","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
