"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Freestyle project","","US_01.002 Rename project","0","0","4","0","0"
"","","","0","0","266","0","10"
"New item","","US_00.001 Create Freestyle Project","0","0","42","0","0"
"Pipeline","","US_02.007 Delete pipeline","0","0","5","0","0"
"Pipeline","","US_02.006 Disable project","0","0","4","0","0"
"","","US_14.004 Warning item","0","0","2","0","0"
"People","","View people","0","0","1","0","0"
"Freestyle project","","US_01.006 Move to Folder","0","0","3","0","0"
"Pipeline","","US_02.009 Full stage view","0","0","6","0","0"
"Build history","","US_08.002 Take information about a project built","0","0","3","0","0"
"New Item","","US_00.002 Create Pipeline Project","0","0","5","0","0"
"Freestyle project","","US_01.008 Build now Project.","0","0","1","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","1","0","0"
"Pipeline","","US_02.005 Edit pipeline description","0","0","3","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"Pipeline","","US_02.005 Delete pipeline","0","0","2","0","0"
"Footer","","'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"Freestyle project","","US_01.003 Disable/Enable Project","0","0","2","0","0"
"People","","Sort people","0","0","1","0","0"
"People","","Icon size","0","0","3","0","0"
"Pipeline","","US_02.008 Rename pipeline","0","0","2","0","0"
"Freestyle project","","US_01.005 Edit description Project","0","0","1","0","0"
"","","US_14.005 Entrance to the user's account","0","0","1","0","0"
"Freestyle project","","US_01.001 Add description","0","0","1","0","0"
"Freestyle project","","US_01.004 Delete project","0","0","3","0","0"
"14_Header","","US_14.004 Warning item","0","0","1","0","0"
"Footer","","REST API link > Redirection","0","0","1","0","0"
"Pipeline","","US_02.004 Pipeline Configuration","0","0","2","0","0"
"Pipeline","","US_02.011 Build history","0","0","1","0","0"
"Freestyle project","","US_01.007 Delete description Project","0","0","1","0","0"
