"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"14_Header","","US_14.004 Warning item","0","0","1","0","0"
"","","","0","0","163","0","8"
"New Item","","US_00.002 Create Pipeline Project","0","0","5","0","0"
"FreestyleProject","","US_01.000 Create Project","0","0","42","0","0"
"Multi-configuration project","","US_03.003  Delete project","0","0","1","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"Multi-configuration project","","US_03.000  Create project","0","0","3","0","0"
"FreestyleProject","","US_01.002 Rename project","0","0","4","0","0"
"Nodes","","US_15.003 Check list of Monitoring Data","0","0","1","0","0"
"FreestyleProject","","US_01.004 Delete project","0","0","3","0","0"
"FreestyleProject","","US_01.006 Move to Folder","0","0","3","0","0"
"Nodes","","US_15.003 Edit Node","0","0","2","0","0"
"Folder","","US_04.005 Create a job inside folder","0","0","4","0","0"
"Organization folder","","US_06.001 Configuration","0","0","6","0","0"
"Multibranch pipeline","","US_05.004 Disable Multibranch pipeline","0","0","5","0","0"
"Multibranch pipeline","","US_05.005 Delete Multibranch pipeline","0","0","3","0","0"
"Nodes","","US_15.002 Delete Node","0","0","2","0","0"
"Pipeline","","US_02.002 View changes","0","0","1","0","0"
"Pipeline","","US_02.005 Edit pipeline description","0","0","3","0","0"
"Pipeline","","US_02.007 Delete pipeline","0","0","5","0","0"
"Multibranch pipeline","","US_05.002 View Multibranch pipeline page > Sidebar > Visibility, clickability, redirection","0","0","2","0","0"
"FreestyleProject","","US_01.003 Disable/Enable Project","0","0","2","0","0"
"Folder","","US_04.000 Create Folder","0","0","7","0","0"
"Organization folder","","US_06.000 Create project","0","0","3","0","0"
"Pipeline","","US_02.009 Full stage view","0","0","6","0","0"
"Folder","","US_04.004 Add and edit description of the folder ","0","0","2","0","0"
"Footer","","'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"Multi-configuration project","","US_03.003  Delete project ","0","0","2","0","0"
"Folder","","US_04.002 Move Folder to Folder","0","0","2","0","0"
"FreestyleProject","","US_01.005 Edit description Project","0","0","1","0","0"
"FreestyleProject","","US_01.008 Build now Project.","0","0","1","0","0"
"Organization folder","","US_06.005 Delete Organization Folder","0","0","1","0","0"
"Organization folder","","US_06.009 Add description to folder","0","0","1","0","0"
"","","US_14.004 Warning item","0","0","2","0","0"
"People","","US_07.003 Icon size","0","0","3","0","0"
"Pipeline","","US_02.005 Delete pipeline","0","0","2","0","0"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"","","US_14.005 Entrance to the user's account","0","0","1","0","0"
"Multibranch pipeline","","US_05.001 Rename Multibranch pipeline","0","0","3","0","0"
"Build History","","Start to build a project","0","0","3","0","0"
"Pipeline","","US_02.004.03 Pipeline Configuration","0","0","1","0","0"
"Multibranch pipeline","","US_05.000 Create Multibranch Pipeline","0","0","2","0","0"
"Multibranch pipeline","","US_05.006 Move Multibranch pipeline","0","0","1","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"FreestyleProject","","US_01.001 Add description","0","0","1","0","0"
"People","","US_07.001 View people","0","0","1","0","0"
"Pipeline","","US_02.006 Disable project","0","0","4","0","0"
"Pipeline","","US_02.004 Pipeline Configuration","0","0","2","0","0"
"Organization folder","","US_06.007 Pipeline syntax","0","0","4","0","0"
"Folder","","US_04.001 Rename Folder","0","0","3","0","0"
"Pipeline","","US_02.008 Rename pipeline","0","0","2","0","0"
"Nodes","","US_15.004 Check tooltips on Configure Node Monitors page","0","0","1","0","0"
"People","","US_07.002 Sort people","0","0","1","0","0"
"Nodes","","US_15.001 Create Node","0","0","7","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"FreestyleProject","","US_01.007 Delete description Project","0","0","1","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"Multibranch pipeline","","US_05.003 Enable Multibranch pipeline","0","0","2","0","0"
"FreestyleProject","","US_01.009 Create a new item from other existing","0","0","1","0","0"
"Organization folder","","US_06.003 Scan Organization Folder Log","0","0","1","0","0"
"Folder","","US_04.003 Delete Folder","0","0","1","0","0"
"Build history","","US_08.002 Take information about a project built","0","0","4","0","0"
"Pipeline","","US_02.011 Build history","0","0","1","0","0"
"Organization folder","","US_06.006 Rename Organization Folder","0","0","1","0","0"
"Multibranch pipeline","","US_05.007 Create a project from other existing","0","0","1","0","0"
"Folder","","04.003 Delete Folder","0","0","1","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
"Multi-configuration project","","US_03.000  Create project ","0","0","1","0","0"
"Footer","","REST API link > Redirection","0","0","1","0","0"
