"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Manage Jenkins","","US_09.002 View 'Manage Jenkins' page > Visibility and clickability","0","0","20","0","0"
"Folder","","US_04.000  Create Folder","0","0","7","0","0"
"New item","","US_00.000 Create New item","0","0","23","0","0"
"Manage Jenkins","","US_09.004 View 'Manage Jenkins' page > Redirection","0","0","54","0","0"
"Nodes","","US_15.001 Create Node","0","0","7","0","0"
"APITest","","","0","0","2","0","0"
"","","","0","0","9","0","0"
"Pipeline","","US_02.005 Edit description","0","0","3","0","0"
"Folder","","US_04.003 Delete Folder","0","0","2","0","0"
"Nodes","","US_15.003 Edit Node","0","0","2","0","0"
"Manage Jenkins","","US_09.005 Appearance","0","0","6","0","0"
"New item","","US_00.007 Create a new item from other existing","0","0","10","0","0"
"Manage Jenkins","","US_09.001  Search settings","0","0","5","0","0"
"Header","","US_14.004  Warning item","0","0","3","0","0"
"Build History","","US_08.002 Get the information about a project build","0","0","3","0","0"
"Folder","","US_04.004  Add and edit description of the folder ","0","0","2","0","0"
"Folder","","US_04.005  Create a job inside folder","0","0","4","0","0"
"Header","","US_14.005  Entrance to the user's account","0","0","1","0","0"
"Folder","","US_04.002  Move Folder to Folder","0","0","2","0","0"
"Header","","US_14.007 Username on header","0","0","2","0","0"
"Pipeline","","US_02.004 Verify the Pipeline configuration","0","0","3","0","0"
"Folder","","US_04.001 Rename Folder","0","0","3","0","0"
"Build History","","US_08.001 Start to build a project","0","0","2","0","0"
"Pipeline","","US_02.009 Full Stage View","0","0","2","0","0"
"Nodes","","US_15.004 Check tooltips on Configure Node Monitors page","0","0","1","0","0"
"Nodes","","US_15.005 Check list of Monitoring Data","0","0","1","0","0"
"Nodes","","US_15.002 Delete Node","0","0","2","0","0"
