"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","58","0","8"
"FreestyleProject","","US_01.002 Rename project","0","0","4","0","0"
"FreestyleProject","","US_01.000 Create Project","0","0","42","0","0"
"Multi-configuration project","","US_03.000  Create project","0","0","3","0","0"
"Multi-configuration project","","US_03.000  Create project ","0","0","1","0","0"
"FreestyleProject","","US_01.003 Disable/Enable Project","0","0","2","0","0"
"Footer","","'Jenkins 2.440.2' button > Visibility, clickability and functionality","0","0","4","0","0"
"FreestyleProject","","US_01.004 Delete project","0","0","3","0","0"
"Multi-configuration project","","US_03.002  Enable/Disable project","0","0","5","0","0"
"FreestyleProject","","US_01.008 Build now Project.","0","0","1","0","0"
"Multi-configuration project","","US_03.001  Add/edit description","0","0","4","0","0"
"Build History","","Start to build a project","0","0","3","0","0"
"People","","US_07.003 Icon size","0","0","3","0","0"
"FreestyleProject","","US_01.006 Move to Folder","0","0","3","0","0"
"FreestyleProject","","US_01.007 Delete description Project","0","0","1","0","0"
"Multi-configuration project","","US_03.005  Move project to Folder","0","0","2","0","0"
"People","","US_07.001 View people","0","0","1","0","0"
"FreestyleProject","","US_01.009 Create a new item from other existing","0","0","1","0","0"
"Multi-configuration project","","US_03.003  Delete project","0","0","1","0","0"
"Multi-configuration project","","US_03.003  Delete project ","0","0","2","0","0"
"Footer","","REST API link > Redirection","0","0","1","0","0"
"People","","US_07.002 Sort people","0","0","1","0","0"
"FreestyleProject","","US_01.001 Add description","0","0","1","0","0"
"Multi-configuration project","","US_03.004  Rename project","0","0","2","0","0"
"FreestyleProject","","US_01.005 Edit description Project","0","0","1","0","0"
"Multi-configuration project","","US_03.006  Edit configuration","0","0","1","0","0"
